TS,NDVI lowess MODIS,NDVI lowess S2,NDVI lowess L8,NDVI lowess NSRS_1,NDVI lowess NSRS_2,NDVI lowess NSRS_3,NDVI lowess NSRS_1_B,NDVI lowess NSRS_2_B,NDVI lowess NSRS_3_B,TEMP IMS,RAINFALL[mm] 121702 IMS,RAINFALL[mm] 121710 IMS
1564272000,,,0.464,,,,,,,,,
1564358400,,,,,,,,,,,,
1564444800,,,,,,,,,,,,
1564531200,,,,,,,,,,,,
1564617600,,,,,,,,,,,,
1564876800,,0.45299999999999935,,,,,,,,,,
1565049600,,,0.48,,,,,,,,,
1565049600,,,0.477,,,,,,,,,
1565136000,,,,,,,,,,,,
1565222400,,,,,,,,,,,,
1565654400,,,0.457,,,,,,,,,
1565740800,0.3848971669626306,,,,,,,,,,,
1565913600,,,,,,,,,,,,
1566172800,,0.4439999999999714,,,,,,,,,,
1566259200,,,,,,,,,,,,
1566345600,,,,,,,,,,,,
1566432000,,,0.484,,,,,,,,,
1566432000,,,0.477,,,,,,,,,
1566518400,,,,,,,,,,,,
1566604800,,,,,,,,,,,,
1566777600,,,,,,,,,,,,
1566864000,0.38579748854419954,,,,,,,,,,,
1566950400,,,,,,,,,,,,
1567123200,0.38686782675001546,,,,,,,,,,,
1567209600,,,,,,,,,,,,
1567296000,,,,,,,,,,30.6,,
1567382400,,,,,,,,,,30.4,,
1567468800,,0.44025000000005043,,,,,,,,29.9,,
1567555200,0.38955569608184515,,,,,,,,,29.6,,
1567641600,,,,,,,,,,29.9,,
1567728000,,,,,,,,,,29.4,,
1567814400,,,,,,,,,,29.4,,
1567900800,,,,,,,,,,29.4,,
1567987200,,,,,,,,,,29.4,,
1568073600,0.3912227139855849,,,,,,,,,29.3,,
1568160000,,,,,,,,,,29.4,,
1568246400,,,,,,,,,,29.5,,
1568332800,,0.43774999999999975,,,,,,,,29.2,,
1568419200,,,,,,,,,,29.1,,
1568505600,,,,,,,,,,27.9,1.7,0.5
1568592000,,,,,,,,,,29.5,,
1568678400,,,,,,,,,,30.0,,
1568764800,,,,,,,,,,31.0,,
1568851200,,,,,,,,,,30.8,,
1568937600,,,,,,,,,,29.3,,
1569024000,,,,,,,,,,27.6,,
1569110400,,,,,,,,,,28.9,,
1569196800,,,0.501,,,,,,,29.2,,
1569196800,,,0.5,,,,,,,29.2,,
1569283200,,,,,,,,,,28.2,,
1569369600,,,,,,,,,,28.1,,
1569456000,,,,,,,,,,28.5,,
1569542400,,,,,,,,,,29.4,,
1569628800,,0.43399999999997907,,,,,,,,28.2,,
1569715200,,,,,,,,,,28.2,,
1569801600,,,0.468,,,,,,,28.3,,
1569888000,0.41677620346141037,,,,,,,,,28.3,,
1569974400,0.41934396293174714,,,,,,,,,28.3,,
1570060800,,,,,,,,,,27.7,,
1570147200,,,,,,,,,,27.5,,
1570233600,,,,,,,,,,27.6,,
1570320000,,,,,,,,,,27.5,,
1570406400,,,,0.2875992231550077,0.48451711553155785,0.4685295684813775,,,,27.8,,
1570492800,,,,0.2899893187095993,0.48760429661948457,0.46672005165833325,,,,28.7,,
1570579200,,,0.49,0.29234053829753026,0.4906729507427784,0.464946025712708,,,,27.7,,
1570579200,,,0.497,0.29234053829753026,0.4906729507427784,0.464946025712708,,,,27.7,,
1570665600,,,,0.29464653851099953,0.4937191485989463,0.4632147058174876,,,,28.5,,
1570752000,,,,0.2969020453695609,0.4967387829609635,0.4615332583738702,,,,27.6,,
1570838400,,,,0.29910386056357907,0.49972877747410627,0.45990838245018134,,,,27.7,,
1570924800,0.44546314643439355,,,0.301251736171849,0.5026879390039571,0.4583460210226014,,,,29.8,,
1571011200,,,,0.3033491971851401,0.505617875196564,0.456851567319152,,,,37.3,,
1571097600,,,,0.3054048544496935,0.5085237562484785,0.45542821657852445,,,,39.2,,
1571184000,,,0.484,0.3074318864074475,0.5114139539424507,0.4540749637385628,,,,29.3,,
1571270400,0.4520695731290085,,,0.30944624017151795,0.5142987268497103,0.45278541283418505,,,,28.4,,
1571356800,,,,0.31146667829814817,0.5171915740681254,0.45154649074048164,,,,27.2,,
1571443200,0.4552237377227098,,,0.31351576152636274,0.5201110892223908,0.45033522929655695,,,,27.1,,
1571529600,,,,0.315618307205409,0.5230835698081794,0.449116368858816,,,,26.9,,
1571616000,,,,0.3177583683952431,0.5261472404877127,0.44786882803360717,,,,26.9,,
1571702400,,,,0.31897924998043325,0.5293325266647755,0.4478487326210968,,,,29.7,,
1571788800,,,,0.31979885238538347,0.5320106624118582,0.44815027437451166,,,,27.9,,
1571875200,,,,0.3201837790699372,0.5344493801417209,0.448764899972859,,,,25.2,,
1571961600,,,,0.32011581736120326,0.5365764838662429,0.4496308430397185,,,,26.9,,
1572048000,,,,0.3196177842958336,0.5383547137992205,0.4506671799191882,,,,24.9,,
1572134400,,,,0.31877488505586715,0.5397941458345322,0.45181609301678644,,,,27.6,2.1,1.5
1572220800,,,,0.31770075156320327,0.5409463896846896,0.45304403073944216,,,,24.5,2.3,10.0
1572307200,,,,0.3165056337526968,,0.4543241071647133,,,,24.2,5.6,6.0
1572393600,,,,0.31525025348662095,0.54269948990986,0.4556178573442253,,,,24.8,,
1572480000,,,,0.3139481003064783,0.543443787923413,0.45686658392975993,,,,26.2,,
1572566400,,,,0.3126089682422347,0.5441623254252875,0.4580140969659551,,,,24.2,,
1572652800,,,,0.3112627252086644,,0.4590115700584436,,,,24.0,5.8,9.3
1572739200,,,,0.3099176393010203,0.5454477356317667,0.4598079198471124,,,,26.5,,
1572825600,,,,0.30853779681678495,0.545901007466932,0.4603565162915416,,,,28.9,,
1572912000,,,,0.3070494634665119,0.5461232990126166,0.4606120588515754,,,,30.8,,
1572998400,,,,0.3054071348540626,0.5460087894997168,0.46053904278469776,,,,30.3,,
1573084800,,,,0.3036065841838583,0.5454854985200056,0.46012037280132373,,,,30.3,,
1573171200,,,,0.30164714066742027,0.544544630947369,0.45935510815145997,,,,30.5,,
1573257600,,,,0.2995889375694142,0.5432301678674464,0.4582757613453818,,,,30.1,,
1573344000,,,0.521,0.2975152583196192,0.5416359800334999,0.4569350969596547,,,,30.8,,
1573430400,,,,0.29548027646326747,0.5398700610079507,0.455373926278507,,,,30.6,,
1573516800,,,,0.29354372452736577,0.5380214799377732,0.45366117706884956,,,,29.1,,
1573603200,0.5028112179607679,,,0.2916747905133328,0.5361522511974846,0.4518746639202303,,,,29.2,,
1573689600,,,,0.2898303561063666,0.5342803360151664,0.45009992343713706,,,,30.9,,
1573776000,,,,0.2880211255406029,0.5323668999872523,0.44841187842603397,,,,25.1,0.1,
1573862400,,,,0.28626203955589846,0.5305030783605663,0.4468525635292243,,,,25.4,,
1573948800,,,0.465,0.2845400770530827,0.5286968729275179,0.4454396754980278,,,,23.9,,
1574035200,,,,0.2828265446884468,0.526956724554686,0.44419696088926736,,,,21.8,,
1574121600,0.5139471949796695,,,0.28115181394877337,0.5252966871279405,0.44314809407551903,,,,22.2,,
1574208000,,,,0.2795896649747175,0.5237459933803252,0.4423068771819441,,,,22.9,,
1574294400,,,,0.27818627197078866,0.5223260893871183,0.4416827695172112,,,,24.2,,
1574380800,,,,0.2769639207808507,0.5210589341966892,0.4412835019319594,,,,23.2,,
1574467200,,,,0.27597647498102484,0.5199864699935185,0.4411082730038485,,,,21.3,,
1574553600,,,,0.2752674054625249,0.51914514359554,0.4411577701567127,,,,22.8,,
1574640000,,,,0.27485296567349116,0.5185500790287233,0.4414228706234743,,,,24.0,,
1574726400,,,0.469,0.274769349946951,0.5182230353736815,0.4418792618185529,,,,26.2,,
1574726400,,,0.453,0.274769349946951,0.5182230353736815,0.4418792618185529,,,,26.2,,
1574812800,,,,0.27506683584967984,0.518190393929318,0.4425031159573371,,,,21.5,,
1574899200,,,,0.2758162468845401,0.5184615550933256,0.44327471443615685,,,,22.0,,
1574985600,,,,0.2770566062417358,0.5190228657685066,0.4441746797078985,,,,22.1,,
1575072000,,,,0.27875181052427284,0.5198563394367939,0.44520034683075005,,,,22.5,,
1575158400,,,,0.280779909318201,0.5209173855755264,0.4463450523182425,,,,21.9,5.4,4.0
1575244800,,,,0.2830243965336865,0.5221611064595074,0.44759773691435184,,,,20.5,,
1575331200,,,,0.2853701307064412,0.5235000331877449,0.44896412499444,,,,19.6,,
1575417600,,,,0.28774564850796125,0.5248332498679792,0.45047188817012696,,,,21.1,,
1575504000,,,,0.29012854526934445,0.5260724053674324,0.45215461301856574,,,,19.3,1.8,3.2
1575590400,,,,0.2925295443992167,0.5271661554768778,0.454025322529927,,,,19.1,,
1575676800,,,,0.29497984039663455,0.5281038634320401,0.4560645414904198,,,,18.5,0.5,0.5
1575763200,,,,0.29751439644318717,0.528432506250229,0.4582313687813345,,,,19.6,50.6,50.9
1575849600,,,,0.3001895586273487,0.5291455904290887,0.46048624094488766,,,,19.1,9.7,17.9
1575936000,,,,0.30310664291257655,0.5298580273537224,0.46280693016097046,,,,16.1,20.0,29.7
1576022400,,,,0.3063450451495877,0.5302182823579727,0.4651896296130908,,,,19.4,,
1576108800,,,,0.3105465779714505,,0.4676191799081589,,,,19.4,46.5,46.8
1576195200,,,,0.3152435299848854,0.5313349323919334,0.47044655944161384,,,,16.4,,
1576281600,,,,0.32008460791205057,0.531751355919286,0.473229973656528,,,,17.5,,
1576368000,,,,0.32447181933466096,0.5322666199749625,0.47599246692292785,,,,16.1,,
1576454400,,,,0.32899173033687884,0.5326358166526329,0.47875622750197017,,,,19.2,,
1576540800,,,,0.3340916289604002,0.5328149333785672,0.48143665880733333,,,,19.2,,
1576627200,,,,0.3389626553376651,0.53284940334605,0.4843006283766909,,,,20.1,,
1576713600,,,0.564,0.3442655556764127,0.5328295250589596,0.48720523137174643,,,,20.9,,
1576800000,,,,0.3502562944720446,0.5324253994528682,0.4901940758316783,,,,21.3,,
1576886400,0.5750967351896576,,,0.3572888128586651,0.5318116064451726,0.49321075719818347,,,,21.7,,
1576972800,,,,0.36736598867565917,0.5334408957364055,0.4962538430892968,,,,21.6,,
1577059200,,,,0.3800691864108505,,0.4993216872426353,,,,19.3,,
1577145600,,,,0.39306910593465805,0.541812617316295,0.5024112113192696,,,,19.5,0.6,0.5
1577232000,,,,0.40500805523702904,,0.5059088889610083,,,,17.4,40.4,55.3
1577318400,,,,,0.5575686191925182,0.5094974277551989,,,,15.2,22.8,23.0
1577404800,,,,,,,,,,15.8,3.4,4.8
1577491200,,,,,0.5739834990124371,,,,,11.9,18.7,26.0
1577577600,,,,,,,,,,16.1,,
1577664000,,,,,,,,,,17.3,0.1,0.1
1577750400,,,,,,,,,,15.3,1.9,2.5
1577836800,,,,,,,,,,16.1,17.3,11.8
1577923200,,,,0.4848629418162512,0.599513247637421,,,,,12.2,5.8,6.0
1578009600,,,,0.4931794239811387,0.6033954752712763,,,,,13.9,60.6,56.7
1578096000,,,,,,0.5600285254910483,,,,12.5,6.7,6.7
1578182400,,,,0.5100977363677646,0.6112142872096046,,,,,14.5,88.3,70.2
1578268800,0.63032384309168,,,,,,,,,16.1,,
1578355200,,,,0.5276162635782828,,,,,,16.2,2.9,1.7
1578441600,,,,0.5369621324622674,,0.5769968701170864,,,,13.4,19.7,21.1
1578528000,,,,0.5470601922387089,0.6260697727596264,,,,,12.7,23.3,25.9
1578614400,0.6431840581343992,,,,0.6300430638882515,,,,,13.5,,
1578700800,,0.712024655020648,,,,,,,,15.6,,
1578787200,,,,,,,,,,15.0,1.1,1.5
1578873600,,,,,,,,,,17.4,,
1578960000,,,,,,,,,,17.3,,
1579046400,0.6622493281544571,,,,,,,,,17.9,0.9,1.1
1579132800,,,,0.5951207467964967,0.6531147235664722,,,,,16.5,2.2,1.2
1579219200,,,,0.59842717066565,0.6577839163553787,,,,,15.1,7.0,5.0
1579305600,,,,0.6016031172335637,,,,,,15.2,9.8,11.6
