DATE,NDVI_RAW
18/11/2015,0.211788875
02/12/2015,0.363232734
16/12/2015,0.303817819
30/12/2015,0.267212455
13/01/2016,0.301844751
28/01/2016,0.273888377
10/02/2016,0.30530347
25/02/2016,0.314541531
08/03/2016,0.264477072
22/03/2016,0.239364127
03/04/2016,0.184765515
20/04/2016,0.270712817
03/05/2016,0.153751365
18/05/2016,0.314412841
31/05/2016,0.288239592
14/06/2016,0.269528268
28/06/2016,0.18299672
12/07/2016,0.264934237
26/07/2016,0.198365397
09/08/2016,0.198433827
22/08/2016,0.2515348
06/09/2016,0.191299332
23/09/2016,0.138994158
05/10/2016,0.225775494
18/10/2016,0.187657407
03/11/2016,0.220600182
