DATE,NDVI_RAW
"Sep 19, 2018",-0.028
"Sep 20, 2018",-0.022
"Sep 23, 2018",-0.011
"Sep 26, 2018",-0.036
"Sep 27, 2018",-0.009
"Sep 29, 2018",-0.054
"Sep 30, 2018",-0.062
"Oct 4, 2018",-0.052
"Oct 5, 2018",-0.045
"Oct 7, 2018",-0.055
"Oct 8, 2018",-0.053
"Oct 11, 2018",-0.1
"Oct 13, 2018",-0.022
"Oct 14, 2018",-0.054
"Oct 22, 2018",-0.049
"Oct 23, 2018",-0.096
"Oct 24, 2018",-0.094
"Oct 26, 2018",0.003
"Oct 28, 2018",0.012
"Oct 29, 2018",0.014
"Nov 1, 2018",0.037
"Nov 3, 2018",0.023
"Nov 5, 2018",-0.089
"Nov 7, 2018",-0.14
"Nov 8, 2018",0.009
"Nov 9, 2018",-0.02
"Nov 12, 2018",-0.019
"Nov 13, 2018",-0.07
"Nov 15, 2018",-0.118
"Nov 17, 2018",0.067
"Nov 18, 2018",0.016
"Nov 20, 2018",0.055
"Nov 25, 2018",0.041
"Nov 26, 2018",0.093
"Nov 30, 2018",0.026
"Dec 3, 2018",0.089
"Dec 5, 2018",0.081
"Dec 9, 2018",0.156
"Dec 11, 2018",0.138
"Dec 12, 2018",0.139
"Dec 14, 2018",0.18
"Dec 15, 2018",0.162
"Dec 17, 2018",0.123
"Dec 23, 2018",0.166
"Jan 4, 2019",0.192
"Jan 5, 2019",0.182
"Jan 11, 2019",0.192
"Jan 15, 2019",0.161
"Jan 16, 2019",0.106
"Jan 17, 2019",-0.089
"Jan 20, 2019",0.089
"Jan 21, 2019",0.221
"Jan 22, 2019",0.189
"Jan 23, 2019",0.17
"Jan 24, 2019",0.196
"Jan 25, 2019",0.242
"Jan 26, 2019",0.195
"Jan 27, 2019",0.14
"Jan 31, 2019",0.228
"Feb 1, 2019",0.192
"Feb 2, 2019",0.249
"Feb 3, 2019",0.243
"Feb 4, 2019",0.181
"Feb 8, 2019",0.199
"Feb 12, 2019",0.233
"Feb 14, 2019",0.104
"Feb 15, 2019",0.223
"Feb 17, 2019",0.164
"Feb 20, 2019",0.013
"Feb 21, 2019",0.113
"Feb 22, 2019",0.241
"Feb 23, 2019",0.306
"Feb 25, 2019",0.187
"Mar 3, 2019",0.241
"Mar 8, 2019",0.051
"Mar 12, 2019",0.006
"Mar 20, 2019",0.211
"Mar 22, 2019",0.201
"Mar 28, 2019",0.27
"Mar 30, 2019",-0.008
"Apr 3, 2019",0.255
"Apr 5, 2019",0.155
"Apr 7, 2019",0.226
"Apr 9, 2019",0.227
"Apr 13, 2019",0.19
"Apr 25, 2019",0.151
"Apr 26, 2019",0.198
"Apr 28, 2019",0.173
"Apr 30, 2019",0.064
"May 3, 2019",0.078
"May 5, 2019",0.145
"May 6, 2019",0.066
"May 12, 2019",0.145
"May 13, 2019",0.097
"May 14, 2019",0.145
"May 15, 2019",0.119
"May 16, 2019",0.129
"May 17, 2019",0.091
"May 18, 2019",0.121
"May 20, 2019",0.108
"May 21, 2019",0.057
"May 22, 2019",0.09
"May 23, 2019",0.055
"May 24, 2019",0.014
"May 25, 2019",-0.133
"May 26, 2019",0.096
"May 27, 2019",0.065
"May 29, 2019",0.089
"May 30, 2019",0.079
"Jun 1, 2019",0.097
