DATE,GCC_RAW
"Sep 30, 2018",0.334
"Oct 4, 2018",0.338
"Oct 5, 2018",0.335
"Oct 7, 2018",0.335
"Oct 8, 2018",0.338
"Oct 11, 2018",0.335
"Oct 13, 2018",0.333
"Oct 14, 2018",0.333
"Oct 22, 2018",0.334
"Oct 23, 2018",0.332
"Oct 24, 2018",0.333
"Oct 26, 2018",0.333
"Oct 28, 2018",0.336
"Oct 29, 2018",0.334
"Nov 1, 2018",0.337
"Nov 3, 2018",0.335
"Nov 5, 2018",0.336
"Nov 7, 2018",0.326
"Nov 8, 2018",0.336
"Nov 9, 2018",0.337
"Nov 12, 2018",0.338
"Nov 13, 2018",0.338
"Nov 15, 2018",0.342
"Nov 17, 2018",0.343
"Nov 18, 2018",0.34
"Nov 20, 2018",0.336
"Nov 25, 2018",0.335
"Nov 26, 2018",0.341
"Nov 30, 2018",0.344
"Dec 3, 2018",0.342
"Dec 5, 2018",0.339
"Dec 9, 2018",0.342
"Dec 11, 2018",0.345
"Dec 12, 2018",0.343
"Dec 14, 2018",0.347
"Dec 15, 2018",0.345
"Dec 17, 2018",0.339
"Dec 23, 2018",0.34
"Jan 4, 2019",0.347
"Jan 5, 2019",0.344
"Jan 11, 2019",0.34
"Jan 15, 2019",0.345
"Jan 16, 2019",0.341
"Jan 17, 2019",0.339
"Jan 20, 2019",0.34
"Jan 21, 2019",0.344
"Jan 22, 2019",0.345
"Jan 23, 2019",0.343
"Jan 24, 2019",0.347
"Jan 25, 2019",0.346
"Jan 26, 2019",0.342
"Jan 27, 2019",0.339
"Jan 31, 2019",0.347
"Feb 1, 2019",0.343
"Feb 2, 2019",0.343
"Feb 3, 2019",0.345
"Feb 4, 2019",0.344
"Feb 8, 2019",0.34
"Feb 12, 2019",0.345
"Feb 14, 2019",0.34
"Feb 15, 2019",0.344
"Feb 17, 2019",0.341
"Feb 20, 2019",0.338
"Feb 21, 2019",0.341
"Feb 22, 2019",0.345
"Feb 23, 2019",0.349
"Feb 25, 2019",0.344
"Mar 3, 2019",0.343
"Mar 8, 2019",0.334
"Mar 12, 2019",0.341
"Mar 20, 2019",0.349
"Mar 22, 2019",0.343
"Mar 28, 2019",0.347
"Mar 30, 2019",0.34
"Apr 3, 2019",0.344
"Apr 5, 2019",0.341
"Apr 7, 2019",0.346
"Apr 9, 2019",0.342
"Apr 13, 2019",0.344
